! ٭٭٭ گریباں گیر برسوں بعد میں نے اسے شہر کے ایک معمولی ہوٹل میں داخل ہوتے ہوئے دیکھا۔
! کو پوچھا تو کاؤنٹر والی لڑکی نے متعلقہ آفس سے کمپیوٹر مشین (جو ٹائپ رائٹر کی طرح ہوتی ہے۔
!! اک خواب وہی تو تھا جو ٹوٹ گیا آخر پل بھر میں گنوا بیٹھا اک عمر کا حاصل تھا۔
!مارچ ء کے دن مولانا خواجہ حسن نظامی کے ہمراہ نواب صاحب نے پہلی بار علامہ اقبال سے ملاقات فرمائی۔
" الغاشیۃ، 88 : 2 - 7 منْ دوْن اﷲ اور ان کے پیروکاروں کے درمیان پھوٹ ہو گی۔
" القرآن، الاعراف، 7: 26 یعنی مرد اور عورت ایک دوسرے کی خامیوں اور کوتاہیوں کا ازالہ کرنے والے ہیں۔
" اللطیف" اپنے بندوں پر نرمی کرنے والا اور باریک بیں کہ اس کے لئے دور و نزدیک یکساں ہیں۔
" اللہ ان پر رحم فرمائے کہ اس بات پر دکھ کا اظہار کرتے ہوئے ان کی لونڈیاں رونے لگیں۔
" اللہ بخش اس گاؤں کو چھوڑ کر مت جاؤ ! یہ گاؤں تمہارا ہے، تم یہیں پیدا ہوئے ہو۔
" اللہ دیا بڑے افسردہ سے لہجے میں بولا " اجی تجمل میاں ان بیروں سے کیا بینک لگے گی۔
" اللہ کے ساتھ اور اللہ کے لیے محبت کرنے کا بیان باہمی الفت ومحبت، اتحاد ویکجہتی کا ذریعہ ہے۔
" اللہ کے ساتھ اور اللہ کے لیے محبت کرنے کا بیان عالم حافظ اور عادل بادشاہ کی تعظیم ہے۔
" النساء، 4 : 48 روزمرّہ گفتگو میں من دون اللّہ کا استعمال "غیر اﷲ" کے معنی میں ہوتا ہے۔
" الی لم از عجکم الا لان نشر کوافی امانتی فیما حملت من امور کم فانی واحد کا حد کم۔
" امارت وقضا کا بیان امیروالی کی اہانت کرو " اور حضرت زیاد ابن کسیب عدوی (تابعی ) کہتے ہیں۔
" امارت وقضا کا بیان اگر کسی کمتر شخص کو امیر بنایا جائے تو اس کی اطاعت بھی ضروری ہے۔
" امام ابوبکر بزار اسے بیان فرما کر فرماتے ہیں کہ "یہ حدیث صرف اسی ایک سند سے مروی ہے۔
" امام رازیؒ نے اس آیت کی تفسیر میں قرآن کریم کے تدریجی نزول کی جو حکمتیں بیان فرمائیں ہیں۔
" امام طحاوی رحمہ اللہ تعالی علیہ جو فن حدیث کے ایک جلیل القدر امام اور حنفی مسلک کے تھے۔
" امام نسائی اس حدیث کو بیان کرنے کے بعد کہتے ہیں کہ یہ حدیث، منکر کے درجے کی ہے۔
" ان احادیث کا ذکر جن میں حضور اقدس صلی اللہ علیہ وسلم کے پینے کا طرز وارد ہوا ہے۔
" ان احادیث کو درج ذیل حدیث کے ساتھ ملا کر پڑھا جائے تو صورت اور واضح ہو جاتی ہے۔
" ان تمام تعریفوں سے ظاہر ہوتا ہے کہ مشرقی علوم و ثقافت اور ادب کا مطالعہ استشراق کہلاتا ہے۔
" ان دونوں آیتوں میں نماز کی منادی کا ذکر ایک رائج شدہ نظام کی حیثیت سے کیا گیا ہے۔
" ان دونوں نے عرض کیا : سبحان اللہ یا رسول اللہ! (ہمیں آپ پر کیسے شک ہو سکتا ہے)۔
" ان عورتوں میں سے ایک عورت نے عرض کیا :ہم عورتوں کا زیادہ جہنمی ہونے کا سبب کیا ہے؟
" ان کا اصل نام " عویمر " ہی تھا لیکن مشہور اپنی کنیت " ابو درداء کے ساتھ تھے۔
" ان کی اس "تپ" کا محرک ان کی "وحدت الوجود" کی خواہش کے اظہار میں نظر آ رہا ہے۔
" ان کے آ نسو پہلی دفعہ ایسے بہہ رہے تھے کہ جیسے سیدھے دل پر سوراخ کرتے نظر آئے۔
" ان کے انتہا پسند دوست ان کی اس چھوٹ دینے پر خفا ہو جاتے تو وہ ہنس کر کہتے۔
" ان کے ایسے جواب سے سیکولر ملک کے کانگریسی وزیر اعلی کا قد اچانک میرے سامنے چھوٹا ہو گیا۔
" ان کے جانے کے بعد بھی گؤ تکیہ عجب عجب طرح سے مولوی صاحب کی شکلیں لیتا رہتا تھا۔
" ان کے ہونٹوں سے نکلا اور لالو نے ان کے دونوں ہاتھ تھام کر برستی آنکھوں سے لگا لئے۔
" انشا پردازی کا ہنر نظم میں ہو یا نثر میں، محض الفاظ میں ہے، معانی میں ہر گز نہیں۔
" انّ اﷲ علم غیْب السّموت و الْارْضط انّہ علیْمٌم بذت الصّدوْر (فاطر : 38 ) "تحقیق اللہ جانتا ہے۔
" انھوں نے اس انداز سے کہا جیسے انھیں یقین ہو کہ میں ہال کی طرف جانے والی نہیں ہوں۔
" انھوں نے ایک انصاری خاتون سے تو آپﷺ نے فرمایا :" تم نے اس کو کسی قدر مہر دیا؟
" انھوں نے عرض کی کہ یا رسول اللہ! اللہ کی قسم جو کچھ میں نے غلط بیان کیا ہے۔
" انھوں نے معنی خیز انداز میں کہا تھا، پھر وہ اپنے کمرے میں سونے کے لیے چلی گئی تھی۔
" انھوں نے نہایت حاکمانہ انداز میں جیسے کہ رحم کھا کر کہا اور اپنے کمرے کی طرف چل دیں۔
" انھوں نے کہا وہ چھتری تو اسلام ہے اور اس میں سے وہ گھی اور شہد جو ٹپکتا ہے۔
" انھوں نے یہ جملہ بڑے مایوسانہ لہجے میں کہا اور تھوڑی دیر بعد وہ مایوس اپنے گھر لوٹ گئے۔
" انہوں نے اپنا گدھا باڑے سے نکالا، اس پر کاٹھی کسی اور نیاز کے گھر سے روانہ ہو گئے۔
" انہوں نے اپنے گدھے کی لگام کھول دی اور گھوڑے باندھنے کی جگہ کے پاس جو گھاس پڑی تھی۔
" انہوں نے بائیں ہاتھ کی پہلی انگلی پر شہادت کی انگلی آڑی رکھ کر سندری کی آنکھوں کو دیکھا۔
" انہوں نے تمام رشتے داروں کا ایک حلقہ بنا دیا اور جعفر کو بیچ میں زمین پر بٹھا دیا۔
" انہوں نے سرمد کے پرسکون چہرے کو یوں دیکھا جیسے اس کی شبیہ دل میں اتار لینا چاہتے ہوں۔
" انہوں نے فیصلے کی تحریر کو منگوایا، اسے پھاڑا اور پھر دوسرے فریق کے حق میں فیصلہ سنا دیا۔
" انہوں نے ہونٹوں پر انگلی رکھ کر خاموش رہنے کا اشارہ کیا اور اسے خود سے الگ کر دیا۔
" اور " اب نہیں اٹھتے " اس طرح کے فعلوں میں مطلب دونوں فعلوں کا ایک ہی ہوتا ہے۔
" اور (قیس بن عباد کہتے ہیں کہ ) وہ صاحب حضرت عبداللہ بن سلام رضی اللہ تعالی عنہ تھے۔
" اور اس (انسان) کا مجھے برا بھلا کہنا یہ ہے کہ وہ کہتا ہے کہ اللہ کا بیٹا ہے۔
" اور اس کے ایک ساتھی نے کہنا چاہا: "لیکن کرنل—" اور کرنل نے فورا اس کی بات کاٹ دی۔
" اور اول بسم اللہ پڑھ کر " اقراء " کی اول کی آیتیں " مالم یالم " تک پڑھیں۔
" اور اگر کسی نے یہ کہا کہ " ہر برائی کا کام جو قصدا کیا جائے گناہ کبیرہ ہے۔
" اور بتحقیق ہم نے انسان کو مٹی سے بنایا پھر ہم نے اسے محفوظ جگہ میں نطفہ بنا دیا۔
" اور بعض حضرات یہ کہتے ہیں کہ " ویل " دوزخ کے ایک (نالے ) کھائی کا نام ہے۔
" اور جو پیچھے پلٹ پلٹ کر خشک چشمے کو دیکھتی تھی تو اسے وہ لبالب بھرا ہوا لگتا تھا۔
" اور جیسا کہ مجھے بعد میں بتایا گیا، سارے شہر میں روشنی کے دیئے جگ مگ کر رہے تھے۔
" اور حافظ ابو محمد ابن حزم نے کتاب الفصل میں بہت شدت سے ان قصوں کی تردید کی ہے۔
" اور حضرت ابن عباس رضی اللہ عنہ کہتے ہیں کہ ایک دن دو آدمیوں نے جو روزہ دار تھے۔
" اور حضرت ابو مسعود انصاری کہتے ہیں کہ ایک انصاری صحابی کے ہاں جن کی کنیت ابو شعیب تھی۔
" اور حضرت ابوہریرہ نے (امیر " کے لفظ پر زور دیتے ہوئے ) حضرت عثمان کی طرف اشارہ کیا۔
" اور حضرت ابوہریرہ نے ایک دن تابعین کو مخاطب کر کے یا جیسا کہ بعض حضرات نے کہا ہے۔
" اور حضرت انس رضی اللہ تعالی عنہ سے روایت ہے کہ نبی کریم صلی اللہ علیہ وسلم نے فرمایا۔
" اور حضرت جبرائیل علیہ السلام نے آکر کہا : عمر، حق اور باطل کے درمیان فرق کرنے والے ہیں۔
" اور حضرت عبداللہ ابن مسعود رضی اللہ تعالی عنہ فرماتے ہیں کہ (ایک روز) میں نماز پڑھ رہا تھا۔
" اور دو نئے اندازوں کی نشو ونما کے لیے گلکرسٹ نے فورٹ ولیم کالج میں ملازمت اختیار کر لی۔
" اور روایت ابن عساکر نے حضرت عبداللہ بن مسعود رضی اللہ تعالی عنہ کے حوالہ سے نقل کیا ہے۔
" اور معاذؓ نے یہ حدیث اپنی موت کے وقت (علم کو چھپانے کے) گناہ خوف سے بیان کر دی۔
" اور منے کی سمجھ میں یہ بات نہیں آ رہی تھی کہ آج باجی نے اسے غنڈہ کیوں کہا؟
" اور میں در رب العزت پر پہنچ کر اس کی بارگاہ میں پیش ہونے کی اجازت طلب کروں گا۔
" اور ونور نے صبیحہ کو ڈرانے کی کوشش کی حالاں کہ خود اس کا دلاب تک کانپ رہا تھا۔
" اور وہ میرے ساتھ چلنے لگیں مگر اس وقت نہ جانے کیوں بے حد عجیب باتیں کر رہی تھیں۔
" اور پھر اس ذلیل کے خٹے سہلانے میں لگ جا تے ہیں جو سب کی باریاں باندھ رہا ہے۔
" اور گورنمنٹ کے بے شمار خیرخواہوں میں کسی کے چہرہ سے وہ اطمینان اور استقلال ظاہر نہیں ہوتا تھا۔
" اور یہ بھی کہا گیا ہے کہ "بعض امور میں انہیں فی الواقع علی الاطلاق فضیلت دی گئی تھی۔
" اور یہ جو بادشاہ اور بادشاہ زادوں کا انجام جسے فتح شہر کی داستان کا دیباچہ بننا چاہئے تھا۔
" اور یہ دعوی بھی کیا جاسکتا ہے کہ ہر چیز کی اپنی ایک جمالیاتی جہت اور قدر ہوتی ہے۔
" اور یہ ظالم لوگ اس حال میں ہوں گے کہ ان کے ہاتھ اور پیر زنجیروں میں جکڑے ہوں۔
" اور یہ لمس اس کالو کا ہے کہ " جہاں کا تو رہے، وہاں کوئی ہڑکمپ نہ مچے بھلا۔
" اول تو آپ نے (میری قرآنی بصیرت کے مطابق) اس آیت کے آخری حصے کے معنی ہی نہیں سمجھے۔
" اوپر گیلری کو جانے والی سیڑھیوں کے پاس والی میز پر تین میڈیکل سٹوڈنٹ بیٹھے باتیں کر رہے ہیں۔
" اپنے اس جذباتی انداز اور انقلابی فکر کے باعث وہ اپنے دوستوں میں "انقلابی" کے نام سے مشہور تھے۔
" اپنے لیے حوصلہ افزائی کا یہ شور سن کر وہ ایک نیا جوش ان کے اندر سرایت کر گیا۔
" اچانک امی پلٹیں -------- ہوا میں ایک بار پھر ان کا ہاتھ چمکا-------- آنکھوں میں سارے آنسو خشک تھے۔
" اچانک نور علی کے چہرے پر ایک مسکراہٹ سی کھیلتی ہوئی نظر آئی اور وہ رک رک کر بولا۔
" اچھا تو ا س طرح تم اسے پٹوا کر ظفر سے اپنی پرانی عداوت کا بدلہ لینا چاہتے ہو۔
" اگر آپ کو خود پر اعتماد ہوتا تو ہماری پہلی ہی ملاقات یوں باد سموم کا شکار نہ ہوتی۔
" اگر تم اللہ تعالی پر توکل ( یعنی کامل اعتماد ) رکھو تو یقینا وہ تمہیں رزق دے گا۔
" اگر تم گھر میں بڑی بہن ہو تو کیا ہوا کسی بزرگ کے فیصلوں میں رکاوٹ نہیں بننا چاہیے۔
" اگر تو نے فوری ہمیں بلوانے کی کوشش نہیں کی تو سمجھ لے ہم کہیں کے نہ رہیں گے۔
" اگر خدا ہمارے بچے کو کوئی بیماری دیتا تو اس کی ذات سے ہمیں شفا یابی کی امید ہوتی۔
" اگر میں منع نہ کرتا اور تم ان کو توڑ لیتے تو یہ سیب ایسے ہر گز نہ ہوتے۔
" اگر کوئی کسر رہ گئی تھی تو وہ سفیروں کے بڑے استقبالیہ ہال میں پہنچ کر پوری ہو گئی۔
" اگرچہ بربروں نے میرا تخت مجھ سے چھین لیا ہے اور میرے سپاہیوں نے مجھے ترک کر دیا ہے۔
" اگرچہ سند کے اعتبار سے اس روایت پر ہم اپنا اعتبار ظاہرنہیں کر سکتے کیونکہ اس روایت کے رو۔
" اہل اللہ اور مقدس لوگوں کی عظمت کا خیال بچپن سے سر سید کے دل میں بٹھایا گیا تھا۔
" ایسی جلی کٹی سن کر ایک دفعہ تو تلووں میں بھڑکتی آگ کے شعلے مغز کو چاٹنے لگتے ہیں۔
" ایسے کئی جذبات انگیز جملے جا بجا اس کتاب میں جو بے اختیار رقّت میں مبتلا کر دیتے ہیں۔
" ایشر سنگھ نے آگے بڑھ کر کلونت کور کا بالائی ہونٹ اپنے دانتوں تلے دبا لیا اور کچکچانے لگا۔
" ایشر سنگھ نے اپنے بازو اس کی گردن میں ڈال دیئے اور ہونٹ اس کے ہونٹوں میں گاڑ دیئے۔
" ایک انصار ی شخص نے کہا کہ آپ دیور کے لیے بتایے ( کہ اس کا کیا حکم ہے؟
" ایک اور جگہ لکھتے ہیں کہ "ان سلاطین کو نہ اپنی صورت دکھانی چاہیے، نہ ان کی دیکھنی چاہیے۔
" ایک دفعہ بہت سے لوگ ابی بن کعب رضی اللہ تعالی عنہ سے جو بڑے رتبے کے صحابی تھے۔
" ایک دن حافظ جی نے کہا، " آپ تو ماشاءاللہ بہت وجیہ ہیں، آپ کا خط کیوں اچھا نہیں؟
